timestamp,how_old_are_you,industry,job_title,additional_context_on_job_title,annual_salary,additional_monetary_comp,currency,income_context,country,us_state,city,years_of_experience_in_field,years_of_experience_overall,highest_level_of_education,gender,race
04/20/2021 14:00:16,45-54,Government & Public Administration,Federal Employee,,"$106,534","14,871",USD,,Germany,,San Francisco,5-7 years,5-7 years,College degree,man,
4/29/2021 19:57:01,25-34,Real Estate,Real Estate Agent,,31114,,USD,,Canada,,,8 - 10 years,8 - 10 years,High School,Man,Another option not listed here
04/29/2021 10:19:22,25-34,HR/People Ops,Talent Acquisition,,"$91,411",,USD,,Australia,,Austin,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Male,Black or African American
2021-04-21 00:02,45-54,Architecture,Interior Designer,,"96,809","$7,340",USD,,United states,Illinois,,11 - 20 years,11 - 20 years,College degree,man,Black or African American
4/19/2021 6:52:34,25-34,Consulting,Management Consultant,Commission based,"57,486",,USD,before tax,Australia,,Denver,5-7 years,5-7 years,College degree,Woman,Black or African American
4/17/2021 12:17:40,35-44,Nursing,ICU Nurse,Remote position,$62851,none,USD,,United Kingdom,,,5-7 years,5-7 years,College degree,Woman,Another option not listed here
4/19/2021 4:53:27,25-34,Education (Higher Ed),Lecturer,Senior level,"$112,549",8122,USD,,United states,,,8 - 10 years,8 - 10 years,PhD,Man,
04/19/2021 19:05:19,35-44,Architecture,Senior Architect,,106718,"$2,035",USD,,United States,Florida,,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Non-binary,"Hispanic, Latino, or Spanish origin"
04/23/2021,35-44,Finance,Senior Financial Analyst,Includes bonus,109045,,USD ,,Sweden,,Boston,11 - 20 years,11 - 20 years,Master's degree,Male,Asian or Asian American
4/15/2021 8:34:34,35-44,Nursing,Charge Nurse,," 83,840 ",,USD,,US,California,,11 - 20 years,11 - 20 years,College degree,Man,Multiracial
2021-04-14 23:03,25-34,Government & Public Administration,Public Health Officer,Part-time equivalent," 87,192 ","14,572",USD,,United States,,San Francisco,2 - 4 years,2 - 4 years,College degree,woman,
2021-04-14 22:08,55-64,Healthcare,MD,Government pay scale,,,CAD,,Australia,,,41 years or more,41 years or more,Master's degree,Woman,White
04/25/2021 00:39:48,25-34,Food & Beverage,Restaurant Manager,Entry level position," 59,388 ",,USD,USD equivalent,United states,Massachusetts,Chicago,8 - 10 years,8 - 10 years,PhD,Man,White
2021-04-25 18:40,25-34,Banking/Finance,Risk Analyst,Academic salary,,,USD,,United States,Illinois,San Francisco,21 - 30 years,21 - 30 years,Master's degree,Man,Multiracial
4/19/2021 8:17:39,45-54,Law,Corporate Attorney,Remote position,"$91,106",$7498,USD,,United States,California,,1 year or less,1 year or less,PhD,Woman,White
2021-04-21 19:28,35-44,Media & Publishing,Editor,,42494,,EUR,,US,Florida,,11 - 20 years,11 - 20 years,Master's degree,Female,
04/27/2021 11:42:36,35-44,Tech/Software,SWE,,,,USD,,United States,New York,,11 - 20 years,11 - 20 years,College degree,Female,Black or African American
04/16/2021,35-44,Tech/Software,Backend Engineer,,,,CAD,,Sweden,,New York,5-7 years,5-7 years,Master's degree,man,Black or African American
04/14/2021 02:48:57,25-34,Finance,Finance Analyst,,"108,978.00","14,752.00",CAD,,United states,,,1 year or less,1 year or less,Master's degree,Male,White
4/25/2021 22:51:50,35-44,Nursing,ER Nurse,,$109096,,USD,,Switzerland,,Austin,11 - 20 years,11 - 20 years,Master's degree,Man,Multiracial
2021-04-25 14:18,25-34,Consulting,Strategy Consultant,,132701,,USD,net,United states,Massachusetts,,41 years or more,41 years or more,College degree,woman,"Hispanic, Latino, or Spanish origin"
2021-04-27 23:50,18-24,Tech/Software,Data Scientist,,,,GBP,,Canada,,,11 - 20 years,11 - 20 years,College degree,Female,White
04/15/2021,25-34,Engineering (Civil),Civil Engineer,Government pay scale,"175,046","2,950.00",USD,,India,,,11 - 20 years,11 - 20 years,College degree,Man,"Hispanic, Latino, or Spanish origin"
4/12/2021 4:46:45,35-44,Education (Higher Ed),Assistant Professor,Contract role,"66,766",18860,USD,,United States,California,Boston,8 - 10 years,8 - 10 years,College degree,woman,
04/14/2021,35-44,Accounting,Staff Accountant,Part-time equivalent,,,USD,,New Zealand,,Portland,1 year or less,1 year or less,College degree,man,White
2021-04-19 10:41,35-44,Tech/Software,Data Analyst,Academic salary,"127,392.00",,USD,USD equivalent,United States,California,Denver,8 - 10 years,8 - 10 years,High School,man,
04/26/2021 07:49:35,25-34,Food & Beverage,Restaurant Manager,,54324,5487,USD,,US,Texas,,21 - 30 years,21 - 30 years,College degree,Male,Asian or Asian American
2021-04-25 16:14,25-34,Insurance,Risk Manager,Entry level position,105993,4475,CAD,,Australia,,,8 - 10 years,8 - 10 years,Master's degree,Woman,Black or African American
2021-04-24 01:09,35-44,Engineering,Senior Engineer,,"70,607.00","12,446.00",INR,,United States,Texas,New York,11 - 20 years,11 - 20 years,College degree,Woman,Black or African American
4/21/2021 3:47:01,25-34,Tech/Software,Full Stack Developer,,"133,499",,AUD,,United States,Oregon,,11 - 20 years,11 - 20 years,Master's degree,Male,"Hispanic, Latino, or Spanish origin"
2021-04-29 16:28,55-64,Retail,Store Manager,Remote position,62849, 642 ,USD,,United States,Texas,Chicago,2 - 4 years,2 - 4 years,PhD,Man,Asian or Asian American
2021-04-14 08:09,35-44,Engineering (Civil),Structural Engineer,Commission based," 124,737 ",,INR,,Switzerland,,,8 - 10 years,8 - 10 years,PhD,woman,Another option not listed here
04/12/2021 13:08:07,25-34,Education (Higher Ed),Postdoc,Senior level,,,USD,,US,Colorado,,1 year or less,1 year or less,Master's degree,Woman,Asian or Asian American
2021-04-27 22:31,25-34,Finance,Treasurer,," 117,007 "," 7,243 ",USD,,United States,Florida,Boston,5-7 years,5-7 years,Master's degree,Man,
04/29/2021,35-44,Retail,Merchandiser,,,,CAD,,United Kingdom,,Portland,2 - 4 years,2 - 4 years,PhD,Man,
4/25/2021 2:12:40,35-44,Nonprofit,Grant Writer,Part-time equivalent,65097,none,USD,,United Kingdom,,,5-7 years,5-7 years,High School,,
4/17/2021 22:46:24,18-24,Real Estate,Leasing Manager,Contract role,"51,806","1,454.00",INR,,Ireland,,New York,8 - 10 years,8 - 10 years,College degree,Female,Multiracial
04/13/2021 07:49:58,35-44,Education (Higher Ed),Adjunct Professor,Academic salary,"27,231.00",none,USD,,Switzerland,,,1 year or less,1 year or less,College degree,man,Asian or Asian American
4/14/2021 14:06:16,45-54,Food & Beverage,Food & Beverage Manager,Remote position,, ,USD,,United States,Florida,,1 year or less,1 year or less,High School,Non-binary,"Hispanic, Latino, or Spanish origin"
04/25/2021,35-44,Engineering,Principal Engineer,,162041,$10481,USD,,United States,Colorado,Portland,11 - 20 years,11 - 20 years,Master's degree,Female,Multiracial
2021-04-26 20:33,25-34,Tech/Software,software engineer,Includes bonus,$266465," 9,697 ",USD,,United States,,,21 - 30 years,21 - 30 years,College degree,Woman,Another option not listed here
4/23/2021 3:36:18,25-34,Consulting,Consultant,Commission based,$77388,4535,CAD,before tax,India,,,5-7 years,5-7 years,College degree,Man,White
2021-04-19 00:48,45-54,Legal,Associate Attorney,Remote position,,,EUR,,United States,Massachusetts,,21 - 30 years,21 - 30 years,Master's degree,Woman,Another option not listed here
04/24/2021 11:40:06,25-34,HR/People Ops,People Operations Manager,,104407,,USD,,United States,Florida,,2 - 4 years,2 - 4 years,College degree,Woman,Multiracial
04/20/2021,35-44,Tech/Software,Backend Engineer,Includes bonus,140412,"9,869.00",usd,USD equivalent,Canada,,,8 - 10 years,8 - 10 years,College degree,Woman,Black or African American
4/19/2021 12:11:06,25-34,Retail,Store Manager,,,,USD,,United Kingdom,,Austin,5-7 years,5-7 years,College degree,woman,Asian or Asian American
04/27/2021,55-64,Hospitality,Event Coordinator,Contract role,"42,449.00",,CAD,,Sweden,,,1 year or less,1 year or less,College degree,Man,Asian or Asian American
4/25/2021 22:25:02,25-34,Law,Prosecutor,Includes bonus,179118,,USD,,Germany,,,2 - 4 years,2 - 4 years,College degree,man,
04/29/2021,25-34,Nonprofit,Grant Writer,Includes bonus," 56,008 ","4,694",CAD,,Canada,,,11 - 20 years,11 - 20 years,College degree,Woman,Multiracial
4/13/2021 13:39:57,45-54,Marketing & Advertising,Digital Marketing Specialist,Part-time equivalent,"$44,498","$20,657",USD,,United Kingdom,,,8 - 10 years,8 - 10 years,Master's degree,Female,White
04/26/2021 05:22:03,25-34,Retail,Store Manager,Commission based,53863,,GBP,,US,Illinois,,11 - 20 years,11 - 20 years,Master's degree,Female,"Hispanic, Latino, or Spanish origin"
4/25/2021 12:34:59,25-34,Tech/Software,Machine Learning Engineer,Commission based,"74,845",2539,USD,,United States,Illinois,,5-7 years,5-7 years,Master's degree,Man,Black or African American
04/28/2021,25-34,Education (Higher Ed),Lecturer,Remote position,"40,124.00","4,144",CAD,,United States,New York,San Francisco,5-7 years,5-7 years,Master's degree,woman,
4/21/2021 20:14:49,25-34,Education (Higher Ed),Postdoc,,"71,450.00","$24,105",USD,,United Kingdom,,,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Man,Black or African American
2021-04-12 17:59,18-24,Engineering (Civil),Structural Engineer,Academic salary," 81,049 ","1,313",USD,,Germany,,Boston,21 - 30 years,21 - 30 years,Master's degree,Woman,Black or African American
4/24/2021 8:20:17,25-34,Tech/Software,Data Engineer,,"69,579",15831,EUR,,United States,California,,5-7 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
2021-04-14 04:37,35-44,Healthcare,NP,Entry level position,"201,613.00",,usd,,United States,Illinois,Chicago,8 - 10 years,8 - 10 years,Master's degree,Woman,Asian or Asian American
04/16/2021 11:50:30,55-64,Education (Higher Ed),Research Scientist,Contract role,,,INR,before tax,United States,Washington,,8 - 10 years,8 - 10 years,College degree,Man,Black or African American
04/25/2021 03:05:35,25-34,Architecture,Senior Architect,Contract role,85443,,AUD,,United States,Oregon,,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Male,White
04/12/2021 03:10:12,55-64,Tech/Software,Full Stack Developer,,"77,999",$7235,AUD,,United States,Oregon,Chicago,2 - 4 years,2 - 4 years,College degree,Man,Black or African American
2021-04-28 00:28,35-44,Education (Higher Ed),Department Chair,Commission based,$100735," 21,068 ",GBP,,US,New York,Los Angeles,21 - 30 years,21 - 30 years,College degree,Woman,White
4/14/2021 1:45:12,45-54,Accounting,Tax Accountant,Commission based,,none,usd,,United States,Texas,,21 - 30 years,21 - 30 years,College degree,,Asian or Asian American
04/13/2021,25-34,Tech/Software,Sr. Software Engineer,Academic salary,$91519,11308,USD ,,US,,Chicago,5-7 years,5-7 years,College degree,Male,
04/14/2021,35-44,Law,Litigation Attorney,Academic salary,"85,660.00","2,716",INR,net,USA,Massachusetts,,8 - 10 years,8 - 10 years,College degree,,
4/19/2021 7:11:29,35-44,Engineering (Civil),Transportation Engineer,,49059,$133,USD,USD equivalent,US,Oregon,Los Angeles,1 year or less,1 year or less,College degree,man,Black or African American
2021-04-12 05:22,25-34,Tech/Software,VP of Engineering,,128425,"7,759",USD,,United states,,New York,5-7 years,5-7 years,Some college,Male,Asian or Asian American
04/24/2021,25-34,Food & Beverage,Food & Beverage Manager,Senior level,,,CAD,net,Australia,,Portland,2 - 4 years,2 - 4 years,College degree,Male,Multiracial
04/12/2021,25-34,Healthcare,Nurse Practitioner,Remote position,"$112,855",,USD,,United States,Texas,Boston,21 - 30 years,21 - 30 years,Some college,woman,
04/23/2021,35-44,Education (Higher Ed),Postdoctoral Researcher,Part-time equivalent,62832,,GBP,,Canada,,Boston,5-7 years,5-7 years,High School,Man,
4/25/2021 17:28:08,25-34,Hospitality,Operations Manager,,$49236,,USD,,Canada,,,2 - 4 years,2 - 4 years,Master's degree,Non-binary/third gender,
04/21/2021,35-44,Law,Lawyer,," 123,083 ",,USD,before tax,United Kingdom,,Boston,5-7 years,5-7 years,Master's degree,Woman,Another option not listed here
04/25/2021,35-44,Engineering,Engineering Manager,Government pay scale,$129801,,USD,,Netherlands,,,2 - 4 years,2 - 4 years,High School,Woman,
04/28/2021 23:22:17,45-54,Nonprofit,Outreach Coordinator,,,,USD,net,United States,Colorado,Los Angeles,5-7 years,5-7 years,College degree,Man,
4/18/2021 19:49:39,25-34,Hospitality,General Manager,,,,INR,USD equivalent,UK,,,11 - 20 years,11 - 20 years,PhD,Non-binary,
04/24/2021,25-34,Consulting,Business Analyst,Academic salary,90493,,USD,,Switzerland,,,2 - 4 years,2 - 4 years,College degree,Man,
04/22/2021,18-24,Legal,Lawyer,Senior level,"99,526.00",,GBP,,U.S.,New York,,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",man,
2021-04-19 15:31,35-44,Education (K-12),Special Education Teacher,Part-time equivalent,"33,140",,USD,,United States,,Austin,2 - 4 years,2 - 4 years,Master's degree,Man,"Hispanic, Latino, or Spanish origin"
2021-04-20 02:24,35-44,Law,Corporate Attorney,Remote position,34666,,USD,gross,United Kingdom,,Los Angeles,5-7 years,5-7 years,College degree,Man,
04/26/2021 03:04:42,25-34,Finance,Controller,Senior level," 62,990 ",,GBP,,US,Florida,Los Angeles,8 - 10 years,8 - 10 years,College degree,Female,
2021-04-14 07:33,25-34,HR/People Ops,HRBP,Academic salary,"120,216",,CAD,,France,,,11 - 20 years,11 - 20 years,Some college,Man,
04/21/2021,65 or over,Tech/Software,IT Manager,,,,AUD,,United States,,Los Angeles,11 - 20 years,11 - 20 years,Master's degree,Man,Another option not listed here
04/20/2021,45-54,Tech/Software,UX Designer,Remote position,47607,,USD,,United States,California,,5-7 years,5-7 years,College degree,Non-binary/third gender,Another option not listed here
4/26/2021 19:14:14,25-34,Engineering,Principal Engineer,Part-time equivalent,,,CAD,,United states,Illinois,Boston,2 - 4 years,2 - 4 years,Some college,Non-binary,White
04/28/2021,25-34,Tech/Software,UX/UI Designer,,,,EUR,,India,,Chicago,8 - 10 years,8 - 10 years,Master's degree,woman,White
04/23/2021 02:53:59,25-34,Law,Corporate Attorney,Academic salary,"246,741",,GBP,,United States,Texas,,11 - 20 years,11 - 20 years,Master's degree,Woman,
04/23/2021,35-44,Engineering (Civil),Structural Engineer,,"78,239.00"," 2,074 ",INR,,US,Colorado,Los Angeles,2 - 4 years,2 - 4 years,PhD,Man,Multiracial
04/12/2021 16:38:38,35-44,Tech/Software,Data Analyst,Government pay scale,"192,542.00","8,246",EUR,,United States,Massachusetts,,41 years or more,41 years or more,Some college,woman,
4/15/2021 7:25:56,18-24,Marketing & Advertising,SEO Specialist,Government pay scale,21227,,USD,,Germany,,,1 year or less,1 year or less,Some college,Man,White
04/23/2021,25-34,Finance,Treasurer,Entry level position,,,USD,,USA,,,11 - 20 years,11 - 20 years,College degree,Man,
4/14/2021 3:25:46,under 18,Law,Public Defender,Contract role,"$52,087", 516 ,USD,,United States,New York,,2 - 4 years,2 - 4 years,Master's degree,Woman,Another option not listed here
04/19/2021 06:52:14,25-34,Nursing,ER Nurse,Senior level,60139,"$1,395",USD,,UK,,,2 - 4 years,2 - 4 years,College degree,Female,"Hispanic, Latino, or Spanish origin"
2021-04-28 12:52,55-64,Insurance,Claims Adjuster,,"51,137",,USD,,Germany,,,8 - 10 years,8 - 10 years,College degree,man,
04/17/2021 10:20:05,25-34,Engineering,Mechanical Engineer,,"76,180.00","2,217",GBP,,United States,Oregon,Los Angeles,2 - 4 years,2 - 4 years,College degree,Man,
04/15/2021 20:28:42,25-34,Education (Higher Ed),Dean,Government pay scale,$56759,"3,582",USD,,United Kingdom,,,1 year or less,1 year or less,Master's degree,Man,"Hispanic, Latino, or Spanish origin"
4/17/2021 9:29:32,35-44,Accounting,Accountant,,89497,0,USD,,US,Florida,,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Asian or Asian American
4/17/2021 8:26:41,35-44,HR/People Ops,HRBP,Part-time equivalent,"$32,922",13364,USD,,United States,Washington,Austin,5-7 years,5-7 years,College degree,Woman,White
2021-04-15 15:47,25-34,Law,Public Defender,Contract role,94870,,USD,before tax,United States,California,,11 - 20 years,11 - 20 years,College degree,Female,"Hispanic, Latino, or Spanish origin"
4/28/2021 16:47:18,25-34,Engineering (Civil),Structural Engineer,,"60,149.00","5,485.00",INR,,Germany,,,1 year or less,1 year or less,College degree,Woman,Black or African American
04/21/2021 11:38:47,65 or over,Nursing,ER Nurse,Includes bonus,"$63,310",N/A,USD,,United States,,,5-7 years,5-7 years,College degree,Man,Black or African American
04/23/2021 08:35:58,25-34,Healthcare,Medical Director,,59668,,AUD,USD equivalent,Canada,,Portland,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American
4/29/2021 0:20:10,25-34,Tech/Software,ML Engineer,,"113,905.00",22289,USD,,United States,Florida,San Francisco,8 - 10 years,8 - 10 years,High School,Man,Black or African American
2021-04-21 11:40,45-54,Healthcare,Surgeon,Government pay scale,,,USD,,Switzerland,,,1 year or less,1 year or less,PhD,Woman,
04/17/2021,35-44,Law,Lawyer,Government pay scale,"15,840.00",155,USD,,USA,,Portland,2 - 4 years,2 - 4 years,College degree,Woman,
2021-04-19 17:04,25-34,Insurance,Risk Manager,Commission based," 88,160 ",13095,GBP,before tax,USA,Florida,,5-7 years,5-7 years,PhD,Woman,Black or African American
4/18/2021 6:18:43,35-44,Tech/Software,software engineer,Commission based,250776,,USD,,US,Washington,,11 - 20 years,11 - 20 years,PhD,Male,Asian or Asian American
2021-04-17 05:19,45-54,Healthcare,MD,Part-time equivalent,173235,2320,INR,,United States,Illinois,,21 - 30 years,21 - 30 years,Master's degree,Woman,
04/16/2021,55-64,Healthcare,Surgeon,,,,USD,,United States,Texas,,11 - 20 years,11 - 20 years,Some college,Woman,"Hispanic, Latino, or Spanish origin"
04/29/2021,35-44,Healthcare,Surgeon,Academic salary,"$283,384","6,852.00",USD,,United States,Massachusetts,,11 - 20 years,11 - 20 years,High School,Woman,Black or African American
4/29/2021 7:45:52,25-34,Education (Higher Ed),Professor,,"$89,538","5,310",USD,,Australia,,New York,11 - 20 years,11 - 20 years,College degree,Male,Multiracial
04/17/2021 19:39:04,25-34,Education (Higher Ed),Assistant Professor,Includes bonus,71919,,INR,,United States,Florida,Boston,5-7 years,5-7 years,College degree,man,
4/27/2021 4:21:54,35-44,Nursing,Charge Nurse,,"$150,313",,USD,,United States,Florida,,21 - 30 years,21 - 30 years,College degree,Man,
4/21/2021 13:26:36,25-34,HR/People Ops,HR Director,,62660,,usd,,Germany,,,11 - 20 years,11 - 20 years,College degree,woman,Asian or Asian American
04/26/2021,25-34,Architecture,Architect,,"159,065",514,USD,,Canada,,,21 - 30 years,21 - 30 years,Some college,Woman,
2021-04-12 02:29,25-34,Finance,Investment Analyst,,$100196,,USD,,Australia,,,2 - 4 years,2 - 4 years,High School,Man,Black or African American
04/13/2021 01:27:51,45-54,Education (Higher Ed),Professor,Senior level,"83,487","5,264",USD,,United Kingdom,,,21 - 30 years,21 - 30 years,Master's degree,Man,"Hispanic, Latino, or Spanish origin"
04/16/2021 05:25:47,25-34,Consulting,Consultant,,,,CAD,,USA,Illinois,San Francisco,11 - 20 years,11 - 20 years,PhD,Woman,
04/29/2021,55-64,Retail,District Manager,,90131,"15,770.00",usd,,United States,Colorado,New York,8 - 10 years,8 - 10 years,Master's degree,Female,Another option not listed here
4/23/2021 10:10:00,35-44,Education (Higher Ed),Dean,Government pay scale,,,USD,before tax,United States,New York,New York,21 - 30 years,21 - 30 years,Master's degree,Non-binary,Black or African American
04/22/2021 03:26:46,45-54,Government & Public Administration,City Planner,Includes bonus,,,USD,net,Canada,,,5-7 years,5-7 years,Master's degree,woman,White
4/25/2021 14:41:21,35-44,Media & Publishing,Copywriter,Includes bonus," 107,459 ",,USD,,Australia,,,8 - 10 years,8 - 10 years,College degree,Male,"Hispanic, Latino, or Spanish origin"
04/18/2021,45-54,Engineering (Civil),Transportation Engineer,Includes bonus,109400," 13,812 ",AUD,,France,,Chicago,11 - 20 years,11 - 20 years,College degree,Man,White
04/17/2021 10:53:51,25-34,Engineering (Civil),Civil Engineer,Government pay scale,"68,406",$44,USD,,Australia,,Seattle,8 - 10 years,8 - 10 years,PhD,Man,
4/18/2021 12:21:45,35-44,Healthcare,Physician Assistant,," 161,729 ","8,594",USD,,United states,,,8 - 10 years,8 - 10 years,Some college,Man,"Hispanic, Latino, or Spanish origin"
04/22/2021,25-34,Nursing,Nurse,,"$110,598",,USD,,France,,Seattle,11 - 20 years,11 - 20 years,College degree,Non-binary/third gender,
2021-04-25 08:52,35-44,Food & Beverage,Executive Chef,Remote position,"30,376","17,961",GBP,,India,,,2 - 4 years,2 - 4 years,PhD,Woman,White
04/17/2021 03:53:42,25-34,Government & Public Administration,Policy Analyst,Government pay scale,58852,"2,348.00",USD,,United Kingdom,,Boston,8 - 10 years,8 - 10 years,College degree,Man,
04/29/2021 13:39:47,25-34,Tech/Software,Machine Learning Engineer,Government pay scale,95476,4046,EUR,,US,New York,,2 - 4 years,2 - 4 years,College degree,man,Asian or Asian American
2021-04-21 00:09,35-44,Marketing & Advertising,Content Manager,,,0,GBP,,United States,,Seattle,5-7 years,5-7 years,High School,Man,"Hispanic, Latino, or Spanish origin"
4/13/2021 7:13:46,25-34,Engineering (Civil),Transportation Engineer,Academic salary,"30,777",14116,INR,,United states,,,1 year or less,1 year or less,College degree,Man,Asian or Asian American
4/27/2021 12:59:25,25-34,Healthcare,MD,,"150,589",,USD,,US,Oregon,Austin,11 - 20 years,11 - 20 years,Some college,Man,
04/29/2021 02:06:33,25-34,Architecture,Urban Planner,Remote position,"38,572","9,991.00",CAD,,Australia,,Austin,2 - 4 years,2 - 4 years,Master's degree,Male,Another option not listed here
4/15/2021 20:38:17,25-34,Tech/Software,UX Designer,Includes bonus,155208,$2925,EUR,,US,Massachusetts,San Francisco,8 - 10 years,8 - 10 years,Master's degree,Female,Black or African American
04/28/2021 07:33:26,25-34,Legal,Legal Counsel,Includes bonus,185346,,CAD,before tax,India,,,21 - 30 years,21 - 30 years,College degree,Man,Asian or Asian American
4/20/2021 2:36:20,18-24,Hospitality,General Manager,Senior level,54988,,USD,,Canada,,,21 - 30 years,21 - 30 years,Master's degree,Woman,Asian or Asian American
4/28/2021 9:30:30,45-54,Law,Litigation Attorney,Part-time equivalent,"63,740","13,620",AUD,,United States,,,2 - 4 years,2 - 4 years,College degree,Man,Multiracial
2021-04-12 03:03,25-34,Education (Higher Ed),Postdoctoral Researcher,Senior level,"37,240.00",,GBP,,India,,,5-7 years,5-7 years,College degree,Woman,Asian or Asian American
04/20/2021,25-34,Real Estate,Real Estate Agent,,71894,,USD,,United Kingdom,,Austin,1 year or less,1 year or less,Master's degree,Female,Multiracial
04/16/2021,35-44,Marketing & Advertising,Social Media Manager,Commission based,156692,5412,USD ,,United States,Oregon,Boston,11 - 20 years,11 - 20 years,College degree,Man,
4/28/2021 1:41:43,18-24,Media & Publishing,Copywriter,Entry level position,,,CAD,,United Kingdom,,,11 - 20 years,11 - 20 years,Master's degree,woman,Another option not listed here
2021-04-15 13:57,25-34,Education (Higher Ed),Postdoc,,"46,880","8,568.00",GBP,,Ireland,,,2 - 4 years,2 - 4 years,Some college,Man,
4/26/2021 4:48:12,45-54,Nonprofit,Outreach Coordinator,Remote position,,,USD,,Germany,,Seattle,2 - 4 years,2 - 4 years,Some college,Non-binary,
04/27/2021,25-34,Tech/Software,Product Manager,Includes bonus,143821,"6,034",CAD,gross,Switzerland,,Los Angeles,5-7 years,5-7 years,Master's degree,Man,Black or African American
04/26/2021 17:19:28,25-34,Consulting,Management Consultant,,,,AUD,,United States,Illinois,,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Female,Another option not listed here
04/13/2021,18-24,Government & Public Administration,State Employee,Remote position,"54,439.00"," 4,525 ",usd,,United States,,,5-7 years,5-7 years,Master's degree,Female,Multiracial
2021-04-25 22:44,35-44,Education (Higher Ed),Research Scientist,Entry level position,"29,463",,GBP,,Canada,,,5-7 years,5-7 years,College degree,Male,
04/26/2021,35-44,Insurance,Actuary,,$92729,,CAD,,Netherlands,,Seattle,11 - 20 years,11 - 20 years,College degree,Man,Asian or Asian American
04/25/2021 21:12:45,55-64,Nonprofit,Program Coordinator,Contract role,$57988,,USD,,United States,Illinois,New York,11 - 20 years,11 - 20 years,Master's degree,Woman,Asian or Asian American
2021-04-18 22:41,18-24,Education (Higher Ed),Professor,Commission based,"31,992.00",7825,AUD,,United States,Illinois,,2 - 4 years,2 - 4 years,College degree,Man,Multiracial
04/18/2021 00:04:04,35-44,Finance,CFO,Commission based,"115,258",159,USD,,Germany,,Los Angeles,5-7 years,5-7 years,High School,Male,
4/21/2021 19:53:29,25-34,Consulting,Senior Consultant,,,,CAD,,,,Seattle,8 - 10 years,8 - 10 years,College degree,Woman,Asian or Asian American
04/26/2021 04:45:48,under 18,Education (Higher Ed),Postdoc,Remote position,13500,"1,276.00",CAD,,United states,Colorado,,1 year or less,1 year or less,Some college,Female,
04/16/2021 20:30:18,25-34,Tech/Software,Full Stack Developer,Academic salary,"46,015.00",,AUD,,Canada,,Portland,8 - 10 years,8 - 10 years,College degree,Woman,Multiracial
4/15/2021 17:01:45,18-24,Engineering (Civil),Transportation Engineer,Commission based,64440,,USD,,United Kingdom,,San Francisco,2 - 4 years,2 - 4 years,Master's degree,Woman,Multiracial
04/23/2021,35-44,Tech/Software,Senior Software Engineer,Entry level position,"$68,252",,USD,net,Germany,,Denver,8 - 10 years,8 - 10 years,College degree,Woman,
4/29/2021 9:32:47,35-44,Education (K-12),Teacher,Senior level,54339,,CAD,before tax,,,,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
04/26/2021,35-44,Tech/Software,Machine Learning Engineer,Senior level,"73,706",7553,EUR,,United States,Washington,Seattle,21 - 30 years,21 - 30 years,College degree,Woman,
2021-04-21 06:13,35-44,Accounting,Tax Accountant,,$112062,,INR,gross,US,Florida,,11 - 20 years,11 - 20 years,Master's degree,man,White
04/20/2021,25-34,Consulting,Associate Consultant,," 218,211 ","2,407",USD,,United States,,,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Female,Asian or Asian American
2021-04-24 05:24,25-34,Media & Publishing,Managing Editor,Commission based,,0,USD,,Canada,,,2 - 4 years,2 - 4 years,Master's degree,Man,
04/26/2021 04:15:03,45-54,Healthcare,NP,Includes bonus,212200,$5468,USD,net,United States,Colorado,Boston,2 - 4 years,2 - 4 years,College degree,Man,Multiracial
04/21/2021 21:08:21,25-34,Education (Higher Ed),adjunct lecturer,Remote position,"42,021.00",,usd,,United States,Florida,,21 - 30 years,21 - 30 years,PhD,Woman,White
04/13/2021,35-44,Tech/Software,Product Manager (Tech),Part-time equivalent,20160,"4,383",CAD,gross,USA,Texas,Austin,8 - 10 years,8 - 10 years,College degree,Woman,Asian or Asian American
4/25/2021 0:58:54,25-34,Accounting,Accountant,Academic salary,91032,,CAD,,United States,New York,,5-7 years,5-7 years,High School,,Black or African American
04/26/2021 23:12:45,65 or over,Tech/Software,Senior Software Engineer,Remote position,"134,358.00"," 5,945 ",USD,USD equivalent,France,,Boston,2 - 4 years,2 - 4 years,PhD,Non-binary,
2021-04-14 08:58,35-44,Education (Higher Ed),Professor,Academic salary,"64,599",,USD,,United States,Washington,Los Angeles,21 - 30 years,21 - 30 years,PhD,Woman,
04/22/2021,55-64,Tech/Software,Data Engineer,,"89,658.00",$7896,AUD,,United states,California,,2 - 4 years,2 - 4 years,College degree,Non-binary/third gender,
04/12/2021,18-24,Food & Beverage,Chef,,$21272,"10,025.00",USD,,United states,Oregon,,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",,Black or African American
